,Year Manufactured,Engine Capacity,Warranty,Mileage,Price
287,2018,2.0,5,49999.0,179000
288,2013,1.5,1,129999.0,28800
289,2020,1.3,1,14999.0,169000
290,2021,2.0,5,19999.0,208000
291,2019,2.0,5,19999.0,248000
292,2021,2.0,5,19999.0,222000
293,2018,2.5,5,29999.0,213000
294,2018,2.5,5,64999.0,238000
295,2018,2.0,1,44999.0,158000
296,2018,2.0,5,49999.0,189000
297,2009,1.5,5,179999.0,23900
298,2020,2.0,5,24999.0,148888
299,2008,1.8,1,139999.0,19800
300,2012,1.6,1,94999.0,14800
301,2012,2.0,1,119999.0,27800
302,2011,1.3,0,99999.0,10000
303,2018,2.5,5,29999.0,246000
304,2021,2.0,5,19999.0,238000
305,2018,2.0,5,99999.0,238000
306,2018,2.0,5,39999.0,193000
307,2018,2.0,0,109999.0,189800
308,2014,2.0,0,94999.0,56800
310,2010,3.8,0,84999.0,338800
311,2016,1.6,1,64999.0,30800
313,2013,1.6,0,99999.0,22800
314,2022,2.0,5,9999.0,352800
315,2006,1.5,0,179999.0,5800
316,2023,3.9,0,4999.0,75000
317,2021,2.0,0,34999.0,363000
318,2020,2.0,0,34999.0,395000
319,2021,2.0,0,24999.0,405000
321,2020,2.0,0,29999.0,410000
322,2016,1.5,0,54999.0,99800
323,2019,2.0,0,89999.0,179800
325,2019,2.5,5,14999.0,225000
326,2020,2.5,1,29999.0,279000
327,2022,2.5,5,9999.0,296000
328,2020,2.0,1,29999.0,166888
329,2020,2.0,5,24999.0,298888
330,2018,3.5,5,29999.0,305888
333,2023,6.4,0,4999.0,98600
334,2015,2.0,0,74999.0,172000
335,2019,2.0,1,19999.0,303000
336,2012,2.0,1,179999.0,29888
337,2015,1.5,1,119999.0,29888
338,2019,2.5,5,14999.0,208000
339,2022,2.0,1,4999.0,587000
340,2021,2.5,5,14999.0,254000
341,2007,1.3,1,149999.0,13800
342,2004,1.0,1,149999.0,11800
343,2020,2.5,1,19999.0,265000
344,2015,1.0,1,74999.0,27800
345,2012,1.6,1,94999.0,14800
346,2012,2.0,1,129999.0,27800
347,2009,2.0,1,129999.0,28800
348,2005,3.0,0,109999.0,53500
349,2018,2.0,0,49999.0,329800
350,2011,1.6,0,149999.0,53800
351,2013,1.6,0,69999.0,22800
352,2020,2.0,5,19999.0,321888
354,2020,2.5,1,24999.0,263000
355,2014,2.5,0,99999.0,69800
356,2021,2.5,0,54999.0,139800
357,2018,2.0,5,19999.0,193000
358,2019,4.6,5,49999.0,396000
359,2019,1.3,1,19999.0,146000
360,2019,2.0,5,9999.0,288000
361,2021,2.0,1,19999.0,399000
362,2021,2.5,5,9999.0,279800
363,2020,3.0,0,14999.0,448000
364,2020,6.0,0,44999.0,1350000
365,2008,3.6,0,99999.0,48500
366,2021,2.5,5,24999.0,253800
367,2018,2.0,0,94999.0,159969
368,2018,2.0,0,34999.0,350000
369,2019,2.5,0,34999.0,250000
370,2019,2.5,0,34999.0,252000
371,2018,2.5,5,49999.0,236000
372,2021,2.0,0,34999.0,228800
373,2005,3.0,0,109999.0,55800
374,2017,1.6,1,59999.0,149800
376,2019,2.2,0,79999.0,106800
377,2012,1.3,1,74999.0,11888
378,2016,2.0,0,74999.0,126800
379,2009,1.5,0,299999.0,19500
380,2019,2.5,5,29999.0,192888
381,2006,6.9,0,99999.0,48000
382,1999,1.5,0,79999.0,18800
383,2010,3.0,0,84999.0,18800
384,2008,1.5,0,79999.0,22800
